rail,current_width,recent_width,width_lookback,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,accepted,strict_symmetric,mean_gap,mean_dd_pct
2.15,2.25,2.85,35,1,1.1929797197341392,1.1929797197341392,1.1929797197341392,2604.481481530349,2604.481481530349,2604.481481530349,56.52173913043478,56.52173913043478,138.0,138.0,1,0,0,0,0.8463419560033972,-18.39337779131934
2.15,2.25,2.85,50,1,1.2499677042324167,1.2499677042324167,1.2499677042324167,3610.999645927007,3610.999645927007,3610.999645927007,57.534246575342465,57.534246575342465,146.0,146.0,1,1,0,0,0.490781490835847,-16.81817535347163
2.15,2.3,2.65,20,1,1.2388220688304687,1.2388220688304687,1.2388220688304687,3989.5764521657325,3989.5764521657325,3989.5764521657325,57.89473684210527,57.89473684210527,171.0,171.0,1,1,1,0,0.2976022548191559,-17.888581395087577
2.15,2.3,2.65,35,1,1.0727880263168978,1.0727880263168978,1.0727880263168978,1399.4638889318203,1399.4638889318203,1399.4638889318203,55.97826086956522,55.97826086956522,184.0,184.0,0,1,0,0,0.01749909914040093,-26.944692054562125
2.15,2.3,2.65,50,1,1.087015200020097,1.087015200020097,1.087015200020097,1785.4639217535862,1785.4639217535862,1785.4639217535862,56.08465608465608,56.08465608465608,189.0,189.0,0,1,0,0,0.05221607779842419,-24.647597120063892
2.15,2.3,2.75,20,1,1.3821196973641816,1.3821196973641816,1.3821196973641816,5452.498858633169,5452.498858633169,5452.498858633169,59.333333333333336,59.333333333333336,150.0,150.0,1,1,0,0,0.6401440340466296,-17.10562261441565
2.15,2.3,2.75,35,1,1.2792601104811878,1.2792601104811878,1.2792601104811878,4678.8424455511395,4678.8424455511395,4678.8424455511395,58.282208588957054,58.282208588957054,163.0,163.0,1,1,1,1,0.18019359324319284,-15.794800100214879
2.15,2.3,2.75,50,1,1.1834748238765296,1.1834748238765296,1.1834748238765296,3332.2548735986484,3332.2548735986484,3332.2548735986484,57.14285714285714,57.14285714285714,168.0,168.0,1,1,1,1,0.14600338004727487,-18.79479621861735
2.15,2.3,2.85,20,1,1.185131786780362,1.185131786780362,1.185131786780362,2240.401687726612,2240.401687726612,2240.401687726612,55.90551181102362,55.90551181102362,127.0,127.0,1,1,0,0,0.7060521509779953,-20.536546585902148
2.15,2.3,2.85,35,1,1.1929797197341392,1.1929797197341392,1.1929797197341392,2604.481481530349,2604.481481530349,2604.481481530349,56.52173913043478,56.52173913043478,138.0,138.0,1,0,0,0,0.8463419560033972,-18.39337779131934
