candidate_id,favorite_id,run_kind,adx,profile,trades,pnl,pf,wr,dd_abs,long_trades,short_trades,long_pnl,short_pnl,long_pf,short_pf,gap,high_mfe_high,high_mfe_low,signal_exit_winners,signal_exit_giveback_failures,sl_low_mfe,sl_bad,branch,setup
phase3b_old_relaxed_base_4_12_adx45_runner_no_signal_fee04,old_relaxed_base_4_12,managed,45.0,runner_no_signal,121,-4726.847257142862,0.7955665756188014,24.793388429752067,58.06761928267691,71,50,2864.9151999999867,-7591.762457142848,1.2307941073241593,0.2910460822298729,0.9397480250942865,,,,,,,historical_relaxed,base w9/r10/lb20 + base SL4/TP12
phase3b_old_relaxed_base_4_12_adx45_runner_rsi85_15_fee04,old_relaxed_base_4_12,managed,45.0,runner_rsi85_15,354,10882.014925714482,1.1298979988411677,31.07344632768362,57.054406055060205,199,155,14031.21092000027,-3149.195994285789,1.318875588606951,0.9208175519325842,0.3980580366743668,,,,,,,historical_relaxed,base w9/r10/lb20 + base SL4/TP12
phase3b_old_relaxed_base_4_12_adx45_runner_rsi90_10_fee04,old_relaxed_base_4_12,managed,45.0,runner_rsi90_10,352,17616.624417143055,1.2056168004697405,29.829545454545453,55.442649402803546,198,154,13317.58928000027,4299.035137142785,1.2912004405580975,1.1076277428342511,0.18357269772384632,,,,,,,historical_relaxed,base w9/r10/lb20 + base SL4/TP12
phase3b_old_relaxed_base_4_12_adx45_runner_ema100_200_fee04,old_relaxed_base_4_12,managed,45.0,runner_ema100_200,349,8988.271937143072,1.110603653912541,31.23209169054441,48.22505537423205,197,152,7882.469920000287,1105.8020171427843,1.1801356964626026,1.0294824832656335,0.15065321319696912,,,,,,,historical_relaxed,base w9/r10/lb20 + base SL4/TP12
phase3b_old_relaxed_base_4_12_adx45_runner_rsi85_15_plus_ema100_200_fee04,old_relaxed_base_4_12,managed,45.0,runner_rsi85_15_plus_ema100_200,354,7303.701577143071,1.088522231351812,31.35593220338983,49.910285454875655,199,155,9955.884560000291,-2652.1829828572218,1.2297092448791536,0.9322830720555662,0.2974261728235874,,,,,,,historical_relaxed,base w9/r10/lb20 + base SL4/TP12
phase3b_old_relaxed_base_4_12_adx45_runner_rsi90_10_plus_ema100_200_fee04,old_relaxed_base_4_12,managed,45.0,runner_rsi90_10_plus_ema100_200,352,12441.4355657145,1.1512736850468612,31.25,48.22505537423205,198,154,10377.80852000029,2063.6270457142105,1.2371609133277501,1.0536201523199116,0.18354076100783856,,,,,,,historical_relaxed,base w9/r10/lb20 + base SL4/TP12
phase3b_current_base_sharp_1h_2p15_2p15_initial_control_fee04,current_base_sharp_1h_2p15_2p15,initial,,initial_control,197,4088.0166949111863,1.2179238407692008,57.868020304568525,20.34381371580478,110,87,2099.7414969540755,1988.2751979571105,1.2139675510904966,1.2222639283045622,0.00829637721406562,45.0,5.0,,,45.0,83.0,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx40_runner_no_signal_fee04,current_base_sharp_1h_2p15_2p15,managed,40.0,runner_no_signal,14,-1352.6291500000002,0.2040626167027374,21.428571428571427,15.404744129213055,10,4,-849.5702300000017,-503.05891999999835,0.2898693339282157,0.0,0.2898693339282157,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx40_runner_rsi85_15_fee04,current_base_sharp_1h_2p15_2p15,managed,40.0,runner_rsi85_15,196,17917.06094742855,1.2887810040855077,55.61224489795919,32.71610227980991,110,86,8185.697523999946,9731.363423428602,1.2235220490796384,1.3827879672695542,0.15926591818991587,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx40_runner_rsi90_10_fee04,current_base_sharp_1h_2p15_2p15,managed,40.0,runner_rsi90_10,191,31801.32753499996,1.4757199720151488,52.879581151832454,19.85378388174435,107,84,13964.88411099995,17836.44342400001,1.3811496964165269,1.590415309005308,0.20926561258878107,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
