candidate_id,setup_label,group,width_atr_timeframe,rail,current_width,recent_width,recent_delta,width_lookback,trades,pnl,profit_factor,win_rate_pct,sharpe,max_drawdown_pct,long_trades,long_pnl,long_profit_factor,long_win_rate_pct,short_trades,short_pnl,short_profit_factor,short_win_rate_pct,pf_symmetry_gap,min_side_pf,both_sides_pf_gt_1,main_acceptance,fees_paid,stop_loss_after_bad_context,stop_loss_after_low_mfe,high_mfe_high_capture_count,high_mfe_low_capture_count,bounce_score
phase2d_broad_1h_semantic_upper_235_w2_r2p25_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.25/lb50,broad_1h_width_main,1h,2.35,2.0,2.25,0.25,50,335,83.96089670980966,1.0019689730744552,53.73134328358209,0.10198143029252744,-39.51182052708052,217,1346.8439388061468,1.0539579824536731,55.29953917050692,118,-1262.883042096337,0.928573989030692,50.847457627118644,0.12538399342298112,0.928573989030692,False,False,3243.8988215520626,155,51,93,14,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2/lb50,broad_1h_width_main,1h,2.15,1.75,2.0,0.25,50,471,-37.08332149893591,0.9992361773334623,53.29087048832272,0.09924445355274174,-29.631896135627457,298,403.03081174412443,1.0145214927494968,55.033557046979865,173,-440.11413324306034,0.9788361471872153,50.28901734104046,0.03568534556228142,0.9788361471872153,False,False,4069.7473218645214,220,85,112,18,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2/lb35,broad_1h_width_main,1h,2.15,1.75,2.0,0.25,35,465,-96.44219461457952,0.9979680798260141,53.333333333333336,0.09323282993444361,-28.746850742897433,297,320.6890456130786,1.011636408577546,54.882154882154886,168,-417.13124022765805,0.9790433343975941,50.595238095238095,0.03259307417995194,0.9790433343975941,False,False,3988.4623713241463,217,84,111,18,0.0
phase2d_broad_1h_semantic_upper_235_w1p75_r2p25_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.75/r2.25/lb50,broad_1h_width_main,1h,2.35,1.75,2.25,0.5,50,354,-125.16463483691845,0.9971608690843488,53.672316384180796,0.08716368645374495,-39.05904333806437,229,67.0341236603862,1.002537233071674,54.58515283842795,125,-192.19875849730465,0.9891200310748736,52.0,0.01341720199680041,0.9891200310748736,False,False,3317.312972783777,164,55,98,15,0.0
phase2d_broad_1h_semantic_primary_215_w3_r3p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w3/r3.75/lb50,broad_1h_width_main,1h,2.15,3.0,3.75,0.75,50,27,-10.253658436451985,0.994839953564386,55.55555555555556,0.011468941021071233,-9.398105548395074,17,99.46867699361485,1.076879657564417,58.82352941176471,10,-109.72233543006683,0.8417395077121599,50.0,0.23514014985225717,0.8417395077121599,False,False,222.2516220651037,12,4,5,1,0.0
phase2d_broad_1h_semantic_primary_215_w2_r2p25_lb10_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.25/lb10,broad_1h_width_main,1h,2.15,2.0,2.25,0.25,10,302,-207.97314618215952,0.9937567519766112,53.64238410596026,0.06590201445375597,-32.672381559868,197,362.46189449815864,1.0179740085219202,54.82233502538071,105,-570.4350406803181,0.9566070490252384,51.42857142857142,0.061366959496681805,0.9566070490252384,False,False,2751.4376448729436,140,50,70,12,0.0
phase2d_broad_1h_semantic_upper_235_w3p25_r4_lb10_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w3.25/r4/lb10,broad_1h_width_main,1h,2.35,3.25,4.0,0.75,10,11,-5.421803075296438,0.9927648306887269,54.54545454545454,0.00538099705582813,-6.340517686629255,6,267.7996698099031,2.0055176632235034,66.66666666666666,5,-273.22147288519955,0.43436819103343577,40.0,1.5711494721900676,0.43436819103343577,False,False,88.6774442031147,5,2,2,1,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2_lb20_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2/lb20,broad_1h_width_main,1h,2.15,1.75,2.0,0.25,20,448,-351.6025318965184,0.9922443460074228,53.34821428571429,0.0684266155279543,-31.87913911555007,288,-31.313195714859145,0.9988410295459349,54.513888888888886,160,-320.28933618165934,0.9825139803509381,51.24999999999999,0.016327049194996834,0.9825139803509381,False,False,3815.6185789415026,209,82,105,17,0.0
phase2d_broad_1h_semantic_primary_215_w2p75_r3p5_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.75/r3.5/lb50,broad_1h_width_main,1h,2.15,2.75,3.5,0.75,50,54,-38.84540433168286,0.9919048191729455,53.70370370370371,0.01927369661761372,-16.027079771614684,39,-186.69149481621164,0.950667979797777,56.41025641025641,15,147.8460904845288,1.1457766300806935,46.666666666666664,0.19510865028291657,0.950667979797777,False,False,447.48625587362903,25,9,12,2,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2p5_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2.5/lb35,broad_1h_width_main,1h,2.15,1.75,2.5,0.75,35,244,-253.80754625391353,0.9913369284904504,53.278688524590166,0.05249855126291565,-34.568272434657345,155,-776.5911135201117,0.9566017825577081,52.903225806451616,89,522.7835672661981,1.045845740482842,53.93258426966292,0.08924395792513395,0.9566017825577081,False,False,2312.9339337828214,114,43,62,11,0.0
phase2d_broad_1h_semantic_upper_235_w1p75_r2_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.75/r2/lb50,broad_1h_width_main,1h,2.35,1.75,2.0,0.25,50,466,-535.0406682350196,0.9893508905953995,53.21888412017167,0.06843592341568558,-30.0032749447086,294,1451.9722276772402,1.0518264331124092,55.78231292517006,172,-1987.0128959122596,0.910602458928922,48.837209302325576,0.1412239741834872,0.910602458928922,False,False,3814.3840124342596,218,77,131,21,0.0
phase2d_broad_1h_semantic_primary_215_w2p5_r3p25_lb20_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.5/r3.25/lb20,broad_1h_width_main,1h,2.15,2.5,3.25,0.75,20,62,-89.12219010731556,0.9835136835245559,54.83870967741935,0.010687636929749158,-15.606922198918694,43,-92.50744343740865,0.9773421690515307,58.139534883720934,19,3.385253330093086,1.0025587208202236,47.368421052631575,0.025216551768692863,0.9773421690515307,False,False,511.24752117900283,28,10,13,2,0.0
phase2d_broad_1h_semantic_primary_215_w2p75_r3p25_lb20_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.75/r3.25/lb20,broad_1h_width_main,1h,2.15,2.75,3.25,0.5,20,62,-89.12219010731556,0.9835136835245559,54.83870967741935,0.010687636929749158,-15.606922198918694,43,-92.50744343740865,0.9773421690515307,58.139534883720934,19,3.385253330093086,1.0025587208202236,47.368421052631575,0.025216551768692863,0.9773421690515307,False,False,511.24752117900283,28,10,13,2,0.0
phase2d_broad_1h_semantic_primary_215_w3p25_r4_lb10_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w3.25/r4/lb10,broad_1h_width_main,1h,2.15,3.25,4.0,0.75,10,11,-12.484238184300168,0.9818601291282919,54.54545454545454,-0.0010921456620896154,-5.9870335582862815,6,240.40163417618956,1.9820140704909543,66.66666666666666,5,-252.8858723604897,0.42968736888615394,40.0,1.5523267016048004,0.42968736888615394,False,False,88.58577157918553,5,2,2,1,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2p25_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2.25/lb35,broad_1h_width_main,1h,2.15,1.75,2.25,0.5,35,350,-756.9009867662619,0.981133662548778,53.142857142857146,0.019994279919603865,-42.602210440505715,225,-634.3409478619524,0.9736074357342493,53.77777777777778,125,-122.56003890430955,0.9923801404863511,52.0,0.0187727047521018,0.9736074357342493,False,False,3284.743690110519,164,61,81,13,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2p25_lb10_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2.25/lb10,broad_1h_width_main,1h,2.15,1.75,2.25,0.5,10,304,-631.5666423512944,0.9811301119118294,53.289473684210535,0.02459579954620739,-35.58490842581268,199,-91.59387614905933,0.995529591539893,54.2713567839196,105,-539.972766202235,0.958401623369862,51.42857142857142,0.037127968170030945,0.958401623369862,False,False,2739.676259867813,142,51,70,12,0.0
phase2d_broad_1h_semantic_primary_215_w2_r2p25_lb20_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.25/lb20,broad_1h_width_main,1h,2.15,2.0,2.25,0.25,20,324,-668.8727281345708,0.9810548537700632,53.39506172839506,0.023124295341567434,-36.83612691618728,209,187.95121685230382,1.0088749179257703,54.54545454545454,115,-856.8239449868746,0.9393526033871427,51.30434782608696,0.06952231453862767,0.9393526033871427,False,False,2907.4726519650308,151,56,74,13,0.0
phase2d_broad_1h_semantic_upper_235_w1p75_r2_lb10_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.75/r2/lb10,broad_1h_width_main,1h,2.35,1.75,2.0,0.25,10,430,-879.8021458749721,0.9807908584420904,53.25581395348837,0.030725038978256958,-33.129329075071155,276,595.9737986748355,1.0223459774445653,55.434782608695656,154,-1475.7759445498077,0.922859151150286,49.35064935064935,0.0994868262942793,0.922859151150286,False,False,3501.331672055183,201,72,119,19,0.0
phase2d_broad_1h_semantic_upper_235_w2p75_r3p5_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.75/r3.5/lb20,broad_1h_width_main,1h,2.35,2.75,3.5,0.75,20,45,-95.49783041891595,0.9752853648409386,55.55555555555556,-0.0032770928206347014,-12.644367594257378,32,345.1459636424272,1.1228767851084838,62.5,13,-440.64379406134316,0.5823839307635283,38.46153846153847,0.5404928543449554,0.5823839307635283,False,False,358.3650191279855,20,8,11,2,0.0
phase2d_broad_1h_semantic_primary_215_w2_r2p5_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.5/lb35,broad_1h_width_main,1h,2.15,2.0,2.5,0.5,35,243,-725.6643850089789,0.9742104046632698,53.086419753086425,-0.0009609142648069077,-34.568272434656976,155,-643.5596624820633,0.9626929323799219,52.903225806451616,88,-82.10472252691554,0.9924588309236761,53.40909090909091,0.02976589854375422,0.9626929323799219,False,False,2212.616389422994,114,43,61,11,0.0
phase2d_broad_1h_semantic_primary_215_w2_r2p25_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.25/lb35,broad_1h_width_main,1h,2.15,2.0,2.25,0.25,35,335,-1076.6391990853028,0.9714990613021414,52.83582089552239,-0.016028353054782302,-42.528929146038344,217,-2.780353794175877,0.999876738334818,53.91705069124424,118,-1073.858845291127,0.9294398390085828,50.847457627118644,0.0704368993262352,0.9294398390085828,False,False,3083.4181645790486,158,58,77,13,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2_lb10_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2/lb10,broad_1h_width_main,1h,2.15,1.75,2.0,0.25,10,434,-1228.1743180217554,0.97083527620513,52.995391705069125,-0.014523382690708216,-32.26366275154597,279,-219.89083330036317,0.9911889591300518,54.48028673835126,155,-1008.2834847213921,0.9412263135668361,50.32258064516129,0.049962645563215724,0.9412263135668361,False,False,3507.229795946019,204,80,100,17,0.0
phase2d_broad_1h_semantic_primary_215_w2_r2p25_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.25/lb50,broad_1h_width_main,1h,2.15,2.0,2.25,0.25,50,337,-1139.1414840049983,0.9698926344034855,52.818991097922854,-0.02232644162815662,-42.93147627209506,218,-235.1563095954672,0.9896419367064467,53.669724770642205,119,-903.9851744095313,0.9402649436594488,51.26050420168067,0.04937699304699794,0.9402649436594488,False,False,3088.4803224621646,159,58,77,13,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2p25_lb20_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2.25/lb20,broad_1h_width_main,1h,2.15,1.75,2.25,0.5,20,331,-1188.836089569088,0.9667365481751297,53.17220543806647,-0.028907209590164466,-40.806656601957634,214,-340.3267042937153,0.9843238802261948,54.20560747663551,117,-848.5093852753728,0.9395223349477466,51.28205128205128,0.04480154527844815,0.9395223349477466,False,False,2925.844496649996,155,57,74,13,0.0
phase2d_broad_1h_semantic_primary_215_w1p75_r2p25_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.75/r2.25/lb50,broad_1h_width_main,1h,2.15,1.75,2.25,0.5,50,356,-1315.6856835551434,0.9664491706516231,52.80898876404494,-0.03443131869666069,-42.56995196232809,230,-1324.1624665995123,0.9448922084404602,53.04347826086957,126,8.476783044368865,1.0005581931654137,52.38095238095239,0.05566598472495354,0.9448922084404602,False,False,3167.2907449798977,168,62,81,14,0.0
phase2d_broad_1h_semantic_upper_235_w3_r3p25_lb10_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w3/r3.25/lb10,broad_1h_width_main,1h,2.35,3.0,3.25,0.25,10,55,-183.462707184154,0.9612607120738538,56.36363636363636,-0.018170407161839167,-13.62600015238331,37,133.58156657885314,1.0395275080750899,62.16216216216216,18,-317.04427376300714,0.766255717851943,44.44444444444444,0.27327179022314685,0.766255717851943,False,False,428.95554850599257,24,9,12,2,0.0
phase2d_broad_1h_semantic_upper_235_w2p75_r3p5_lb10_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.75/r3.5/lb10,broad_1h_width_main,1h,2.35,2.75,3.5,0.75,10,41,-163.7447138220604,0.9546891229832061,56.09756097560976,-0.027015780463501834,-12.64436759425731,30,47.67239329098763,1.0170677146330913,60.0,11,-211.41710711304802,0.7423857221729427,45.45454545454545,0.27468199246014857,0.7423857221729427,False,False,324.37073271541954,18,6,10,2,0.0
