profile,rail,trades,pnl,pf,dd,long_pf,short_pf,long_pnl,short_pnl
relaxed,1.7,356,-1215.5323159009188,0.9495325206961621,-0.24639548368147324,1.0234318826634587,0.877238258890451,279.08563032950065,-1494.6179462304194
relaxed,1.75,356,-493.38698397354545,0.9801529650094244,-0.2506285609303176,1.069789475364798,0.8940100330534575,850.224378690559,-1343.6113626641045
relaxed,1.8,356,-412.44587638094714,0.984018705913029,-0.23348189154868604,1.0377700168331425,0.9304192819899284,486.69546686921433,-899.1413432501615
relaxed,1.85,356,1889.5062609996896,1.0636561895795638,-0.17461016833234233,1.1153517343819135,1.012619508369114,1701.0126862381512,188.4935747615384
relaxed,1.9,356,2817.1352730017334,1.0889479114148175,-0.15348951803110644,1.1091004661992245,1.0683832457692728,1745.1874556460712,1071.947817355662
relaxed,1.95,356,2135.175082768487,1.066787474578318,-0.18046966087011707,1.1197339108315116,1.0144996644270943,1901.9495679760703,233.22551479241642
relaxed,2.0,352,2888.6087653649074,1.087377844589524,-0.19362355236949813,1.138813506260219,1.0370316035765885,2269.946422697447,618.6623426674605
relaxed,2.05,352,2636.6305117258817,1.0829853984405504,-0.19302236420638863,1.141300422080756,1.0261851212622506,2215.1770913872565,421.45342033862505
relaxed,2.1,352,2592.9393820902687,1.0803099766059978,-0.19634809245363571,1.1431845144179662,1.0193737307638748,2275.286750397176,317.65263169309264
relaxed,2.15,352,3696.8316641262113,1.1080027807298314,-0.19966320545930338,1.1456703919137199,1.0707648344762613,2478.7784230867906,1218.0532410394208
relaxed,2.2,351,2955.7095738619755,1.0861370360760092,-0.202967726148771,1.1220472647621236,1.0504925997528,2086.189155779608,869.5204180823672
relaxed,2.25,350,2760.8371307198895,1.0769497032645823,-0.22600817136331797,1.1052759762103337,1.0486949330413946,1886.1835142474433,874.6536164724462
relaxed,2.3,350,2892.9828877668,1.0786332061817092,-0.2290488774141305,1.106635317174631,1.0507062022057045,1958.9680177319237,934.0148700348764
relaxed,2.35,350,3878.0095235021276,1.101670821652316,-0.21937931634376906,1.105136083781326,1.0981360375010747,2025.0060340587809,1853.0034894433468
relaxed,2.4,350,3297.078662872559,1.0859682244299316,-0.26360710609942084,1.1059168996707263,1.0660103001928876,2031.5488005235427,1265.5298623490162
relaxed,2.45,350,4945.58891384468,1.1232517719645756,-0.22576012783153232,1.1613152033306726,1.085922364610046,3204.949136728234,1740.6397771164463
relaxed,2.5,347,4744.509903335235,1.1189058788733406,-0.24340511202984783,1.1371557231214018,1.1007380836518068,2730.187024940422,2014.3228783948136
