candidate_id,rail,current_width,recent_width,lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_profit_factor,short_profit_factor,long_pnl,short_pnl,bad_context_stops,low_mfe_stops
phase2a_semantic_upper_235_w11_r8_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,8,20,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
phase2a_semantic_upper_235_w11_r8_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,8,35,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
phase2a_semantic_upper_235_w11_r10_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,10,10,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
phase2a_semantic_upper_235_w11_r10_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,10,20,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
phase2a_semantic_upper_235_w11_r10_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,10,35,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
phase2a_semantic_upper_235_w11_r12_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,12,10,196,4311.636866549699,1.205158874575288,57.14285714285714,-23.614836144166773,1.2219948615521226,1.1870815660742675,2415.670614804114,1895.9662517455854,84,43
phase2a_semantic_upper_235_w11_r12_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,12,20,199,4008.6450152880157,1.1902674487678315,56.78391959798995,-24.95330092406639,1.1909685907471361,1.1894861133367918,2120.5302961055927,1888.114719182423,86,44
phase2a_semantic_upper_235_w11_r12_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,12,35,202,3510.9644232527185,1.1674329668816792,56.43564356435643,-25.02150440364821,1.1625720555479606,1.1728965552863793,1804.0156877099387,1706.94873554278,88,45
phase2a_semantic_upper_235_w11_r14_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,14,10,167,1523.2892357561816,1.094565844880428,55.08982035928144,-24.447058567598777,1.1444096184321146,1.0367350005504288,1249.3680065261697,273.92122923001193,75,41
phase2a_semantic_upper_235_w11_r14_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,14,20,175,3145.8518555727,1.174066009570558,56.57142857142857,-22.09534808899306,1.2417565592461701,1.0933068562618424,2376.9222923628863,768.9295632098139,76,41
