rail,current_width,recent_width,width_lookback,candidates,mean_pf,median_pf,mean_pnl,median_pnl,mean_wr_pct,median_wr_pct,mean_trades,pf_ge_1_15,both_sides_pf_gt_1,mean_pf_symmetry_gap
2.45,10,11,10,1,1.1458366132127162,1.1458366132127162,4031.3664207285547,4031.3664207285547,55.970149253731336,55.970149253731336,268.0,0,0,0.3613139412117914
2.45,10,11,20,1,1.1530448883652926,1.1530448883652926,4474.087868311397,4474.087868311397,56.08856088560885,56.08856088560885,271.0,1,1,0.331228867466443
2.45,10,11,35,1,1.1410173449047465,1.1410173449047465,4134.735228324894,4134.735228324894,55.95667870036101,55.95667870036101,277.0,0,1,0.2594773963532757
2.45,10,12,10,1,1.090551226224339,1.090551226224339,2276.505415469664,2276.505415469664,55.144032921810705,55.144032921810705,243.0,0,1,0.2059908019701846
2.45,10,12,20,1,1.1093795219960336,1.1093795219960336,2971.943850674857,2971.943850674857,55.33596837944664,55.33596837944664,253.0,0,1,0.18602663806915798
2.45,10,12,35,1,1.1026201775720594,1.1026201775720594,2769.2884363874473,2769.2884363874473,55.430711610486895,55.430711610486895,267.0,0,1,0.16707439692342074
2.45,10,13,10,1,1.0062842992311931,1.0062842992311931,125.3178737222809,125.3178737222809,54.20560747663551,54.20560747663551,214.0,0,0,0.16924195726682112
2.45,10,13,20,1,1.0314454806511089,1.0314454806511089,709.3493219273224,709.3493219273224,54.310344827586206,54.310344827586206,232.0,0,1,0.02372258953237516
2.45,10,13,35,1,1.0055608941762633,1.0055608941762633,127.4621182330367,127.4621182330367,53.87755102040816,53.87755102040816,245.0,0,0,0.10699203318757489
2.45,11,11,10,1,1.1747740088445884,1.1747740088445884,3787.3408094067404,3787.3408094067404,56.65024630541872,56.65024630541872,203.0,1,1,0.0019344076490677153
2.45,11,11,20,1,1.1747740088445884,1.1747740088445884,3787.3408094067404,3787.3408094067404,56.65024630541872,56.65024630541872,203.0,1,1,0.0019344076490677153
2.45,11,11,35,1,1.1747740088445884,1.1747740088445884,3787.3408094067404,3787.3408094067404,56.65024630541872,56.65024630541872,203.0,1,1,0.0019344076490677153
2.45,11,12,10,1,1.192326790084704,1.192326790084704,4173.782778360487,4173.782778360487,57.14285714285714,57.14285714285714,196.0,1,1,0.09300539316984491
2.45,11,12,20,1,1.1776587626783621,1.1776587626783621,3862.498045430622,3862.498045430622,56.78391959798995,56.78391959798995,199.0,1,1,0.059997997382297275
2.45,11,12,35,1,1.15503371971565,1.15503371971565,3350.7006728956303,3350.7006728956303,56.43564356435643,56.43564356435643,202.0,1,1,0.048519696150153946
